date,open,high,low,close,volume,name
2014-05-12,59.77,61.045,59.74,60.7,2863613.0,ADBE
2014-05-13,60.81,60.97,60.14,60.81,2938421.0,ADBE
2014-05-14,59.95,61.35,59.95,60.88,2497810.0,ADBE
2014-05-15,60.71,60.95,59.56,60.2,5699227.0,ADBE
2014-05-16,60.65,61.69,59.93,61.64,3651241.0,ADBE
2014-05-19,61.27,62.84,61.26,62.2,2817642.0,ADBE
2014-05-20,62.12,62.45,61.42,61.71,1865344.0,ADBE
2014-05-21,61.73,62.66,61.53,62.47,1414109.0,ADBE
2014-05-22,62.29,63.46,61.911,63.15,1814664.0,ADBE
2014-05-23,63.33,64.48,62.84,64.3,2281916.0,ADBE
2014-05-27,64.64,65.485,64.61,65.25,2156589.0,ADBE
2014-05-28,65.43,65.48,64.79,64.84,2198354.0,ADBE
2014-05-29,64.93,65.82,64.9262,65.45,2060964.0,ADBE
2014-05-30,65.75,65.75,64.17,64.54,2444139.0,ADBE
2014-06-02,64.54,65.04,63.68,64.64,1427741.0,ADBE
2014-06-03,64.19,64.46,63.49,64.09,3010166.0,ADBE
2014-06-04,64.1,64.73,63.62,64.17,2675597.0,ADBE
2014-06-05,64.3,65.619,63.925,65.47,2041860.0,ADBE
2014-06-06,65.99,67.32,65.69,66.91,3630237.0,ADBE
2014-06-09,66.7,67.38,66.59,66.93,1339828.0,ADBE
2014-06-10,66.69,67.1899,66.46,66.96,1568263.0,ADBE
2014-06-11,66.9,67.5,66.66,67.46,1607900.0,ADBE
2014-06-12,67.23,67.46,66.28,66.56,1940112.0,ADBE
2014-06-13,66.7,66.95,66.25,66.82,2981070.0,ADBE
2014-06-16,66.8,67.79,66.52,67.62,4370384.0,ADBE
2014-06-17,67.36,68.0,66.86,67.54,6654142.0,ADBE
2014-06-18,73.82,74.69,72.1,73.08,11379268.0,ADBE
2014-06-19,73.17,73.57,72.2401,72.95,4413446.0,ADBE
2014-06-20,73.04,73.15,72.545,72.61,3904720.0,ADBE
2014-06-23,72.74,73.16,72.29,72.89,2354491.0,ADBE
2014-06-24,72.95,73.28,72.175,72.38,2948629.0,ADBE
2014-06-25,72.27,72.7599,72.12,72.44,2218848.0,ADBE
2014-06-26,72.44,72.9,72.175,72.85,2075399.0,ADBE
2014-06-27,72.62,72.765,71.76,72.0,7315469.0,ADBE
2014-06-30,72.43,72.74,71.955,72.36,2771273.0,ADBE
2014-07-01,72.09,73.99,71.8,73.01,4718434.0,ADBE
2014-07-02,72.65,73.24,72.6,72.76,2682086.0,ADBE
2014-07-03,72.95,73.71,72.68,73.57,1396076.0,ADBE
2014-07-07,73.07,73.42,72.577,72.68,1768272.0,ADBE
2014-07-08,72.59,72.87,70.87,71.14,2789116.0,ADBE
2014-07-09,71.11,71.97,71.11,71.57,1749489.0,ADBE
2014-07-10,70.46,72.08,70.31,71.7,1853157.0,ADBE
2014-07-11,71.73,72.44,71.05,72.26,1930580.0,ADBE
2014-07-14,72.55,73.26,72.46,72.88,1862544.0,ADBE
2014-07-15,72.8,73.11,71.87,72.29,2752669.0,ADBE
2014-07-16,72.55,72.87,72.19,72.38,1512639.0,ADBE
2014-07-17,72.11,72.47,71.31,71.39,2032437.0,ADBE
2014-07-18,71.9,72.5799,71.35,72.55,2856852.0,ADBE
2014-07-21,72.5,72.65,71.7,71.96,1906069.0,ADBE
2014-07-22,72.13,72.83,71.91,72.26,1769531.0,ADBE
2014-07-23,72.34,72.5499,71.48,72.04,1873790.0,ADBE
2014-07-24,72.3,72.9,72.2,72.795,2414071.0,ADBE
2014-07-25,72.54,73.151,72.23,72.62,1996681.0,ADBE
2014-07-28,72.39,73.02,71.84,72.7,1721815.0,ADBE
2014-07-29,72.7,73.25,72.24,72.27,1916097.0,ADBE
2014-07-30,72.5,72.7,71.47,71.89,2667626.0,ADBE
2014-07-31,71.31,71.54,69.01,69.2499,3822933.0,ADBE
2014-08-01,69.01,69.55,68.52,68.94,2109007.0,ADBE
2014-08-04,68.95,69.2395,68.35,68.77,3037307.0,ADBE
2014-08-05,68.3,69.55,68.29,68.97,3456650.0,ADBE
2014-08-06,68.73,69.07,68.22,68.23,2455656.0,ADBE
2014-08-07,68.69,68.8795,67.57,67.83,2292520.0,ADBE
2014-08-08,68.08,68.64,67.74,68.39,1573232.0,ADBE
2014-08-11,68.5,69.18,68.28,68.97,2196937.0,ADBE
2014-08-12,68.61,68.99,68.2,68.785,1919431.0,ADBE
2014-08-13,69.12,69.97,68.36,69.79,1881814.0,ADBE
2014-08-14,69.89,70.07,69.59,70.05,1318652.0,ADBE
2014-08-15,70.88,70.91,69.58,70.07,4311632.0,ADBE
2014-08-18,70.44,71.1,70.39,71.06,1707275.0,ADBE
2014-08-19,71.09,72.08,71.06,72.05,2003901.0,ADBE
2014-08-20,71.78,72.0,70.75,71.02,3395267.0,ADBE
2014-08-21,71.07,71.9,70.83,71.73,1886928.0,ADBE
2014-08-22,71.89,72.29,71.545,72.04,1443894.0,ADBE
2014-08-25,72.44,72.57,71.63,71.82,1709031.0,ADBE
2014-08-26,71.79,72.25,71.495,71.53,1848229.0,ADBE
2014-08-27,71.53,72.09,71.37,71.55,1705551.0,ADBE
2014-08-28,71.23,71.72,70.86,71.37,1062891.0,ADBE
2014-08-29,71.77,72.0975,71.4,71.9,1659465.0,ADBE
2014-09-02,72.06,72.59,71.84,72.1,2161445.0,ADBE
2014-09-03,72.55,72.8,71.99,72.43,1971420.0,ADBE
2014-09-04,72.63,73.2,72.26,72.455,1976048.0,ADBE
2014-09-05,72.6,73.13,72.41,73.13,1736191.0,ADBE
2014-09-08,72.87,73.55,72.81,73.39,1378365.0,ADBE
2014-09-09,73.58,73.58,72.34,72.42,1648564.0,ADBE
2014-09-10,72.25,72.75,71.84,72.33,2213470.0,ADBE
2014-09-11,72.03,72.5699,71.78,72.42,1708796.0,ADBE
2014-09-12,72.4,72.49,70.795,70.98,3145623.0,ADBE
2014-09-15,70.63,70.96,69.37,70.27,3867962.0,ADBE
2014-09-16,70.01,70.96,69.19,70.73,5965195.0,ADBE
2014-09-17,68.03,69.09,67.16,67.3,9471253.0,ADBE
2014-09-18,67.28,68.15,67.1,67.91,5173855.0,ADBE
2014-09-19,68.12,68.2,66.35,66.94,6790056.0,ADBE
2014-09-22,66.7,67.225,65.79,67.2,4128969.0,ADBE
2014-09-23,67.11,68.07,66.85,67.79,4414139.0,ADBE
2014-09-24,67.77,69.25,67.6,69.03,3885294.0,ADBE
2014-09-25,68.85,69.02,67.53,67.71,3622948.0,ADBE
2014-09-26,67.49,68.42,67.42,68.355,2286609.0,ADBE
2014-09-29,67.69,69.49,67.55,69.22,3379570.0,ADBE
2014-09-30,69.49,69.5,68.53,69.19,2887348.0,ADBE
2014-10-01,69.13,69.13,67.51,67.54,4655158.0,ADBE
2014-10-02,67.83,67.9512,66.15,67.06,3936898.0,ADBE
2014-10-03,67.59,68.67,67.59,68.4,2874110.0,ADBE
2014-10-06,68.56,68.8,67.45,67.67,1586276.0,ADBE
2014-10-07,67.4,67.63,65.93,65.96,3308165.0,ADBE
2014-10-08,66.0,68.09,65.411,67.99,3562500.0,ADBE
2014-10-09,67.83,67.96,65.48,65.66,3376811.0,ADBE
2014-10-10,65.37,65.58,63.29,63.29,4647988.0,ADBE
2014-10-13,63.01,63.35,61.5301,61.68,4822097.0,ADBE
2014-10-14,62.17,62.3,60.69,60.88,4189537.0,ADBE
2014-10-15,59.61,62.65,58.51,62.19,8333625.0,ADBE
2014-10-16,60.72,63.72,60.72,62.86,6639958.0,ADBE
2014-10-17,63.46,65.13,63.46,64.52,6540794.0,ADBE
2014-10-20,64.25,64.73,63.7,64.68,4266231.0,ADBE
2014-10-21,64.84,66.56,64.51,66.425,3229897.0,ADBE
2014-10-22,66.31,66.49,64.99,65.04,2363348.0,ADBE
2014-10-23,65.62,66.4,65.17,65.92,1783779.0,ADBE
2014-10-24,66.26,67.085,65.5,67.01,1391572.0,ADBE
2014-10-27,66.84,67.34,66.31,67.03,1490821.0,ADBE
2014-10-28,67.45,68.51,67.2,68.37,1951060.0,ADBE
2014-10-29,68.21,68.81,67.52,67.93,2054404.0,ADBE
2014-10-30,67.23,68.61,67.23,68.57,1896316.0,ADBE
2014-10-31,69.89,70.25,69.27,70.12,2949402.0,ADBE
2014-11-03,69.93,70.27,69.66,69.91,1889002.0,ADBE
2014-11-04,69.95,71.1,69.75,71.07,2995992.0,ADBE
2014-11-05,71.53,72.04,70.89,71.37,6146563.0,ADBE
2014-11-06,71.59,72.37,71.37,72.1,2345269.0,ADBE
2014-11-07,72.35,72.4,71.441,71.6,4303060.0,ADBE
2014-11-10,71.63,72.0,71.18,71.7,2388783.0,ADBE
2014-11-11,71.81,72.0,71.4,71.7,1876089.0,ADBE
2014-11-12,71.35,71.73,71.26,71.41,1581709.0,ADBE
2014-11-13,71.65,72.08,71.3,71.72,2560802.0,ADBE
2014-11-14,71.7,72.0,71.35,71.42,2470527.0,ADBE
2014-11-17,70.98,71.25,69.87,69.97,3443117.0,ADBE
2014-11-18,69.86,71.08,69.86,70.83,2833165.0,ADBE
2014-11-19,71.01,71.055,70.42,70.82,2193796.0,ADBE
2014-11-20,70.33,70.55,70.02,70.44,2250485.0,ADBE
2014-11-21,72.0,72.55,71.18,71.32,4554447.0,ADBE
2014-11-24,71.52,71.55,70.73,71.225,1821157.0,ADBE
2014-11-25,71.2,72.52,71.2,72.0,2842637.0,ADBE
2014-11-26,72.08,73.0,71.74,72.98,1467560.0,ADBE
2014-11-28,73.13,74.1,73.05,73.68,978374.0,ADBE
2014-12-01,73.64,73.965,73.2,73.75,2023316.0,ADBE
2014-12-02,74.0,74.0,73.08,73.47,1843614.0,ADBE
2014-12-03,73.64,73.64,72.8901,73.18,1576865.0,ADBE
2014-12-04,73.09,73.23,72.4,73.03,1428212.0,ADBE
2014-12-05,73.16,73.25,72.36,72.4,3061817.0,ADBE
2014-12-08,72.4,72.78,71.6,72.05,1639677.0,ADBE
2014-12-09,71.34,71.66,70.68,71.565,2875422.0,ADBE
2014-12-10,71.56,71.97,69.74,69.85,2577809.0,ADBE
2014-12-11,70.1,71.14,69.66,69.74,5176598.0,ADBE
2014-12-12,74.17,77.56,73.71,76.02,12613681.0,ADBE
2014-12-15,75.66,76.13,72.84,73.04,9696667.0,ADBE
2014-12-16,72.87,73.8,72.31,72.32,4057067.0,ADBE
2014-12-17,72.5,74.57,72.16,73.995,4180909.0,ADBE
2014-12-18,75.41,75.54,74.6,74.89,6913456.0,ADBE
2014-12-19,75.0,75.235,73.99,74.45,6969464.0,ADBE
2014-12-22,74.38,75.14,74.38,74.5,3815437.0,ADBE
2014-12-23,74.65,75.0,74.29,74.38,1941125.0,ADBE
2014-12-24,74.49,74.93,74.37,74.74,1204572.0,ADBE
2014-12-26,74.74,75.17,74.42,74.67,1083910.0,ADBE
2014-12-29,74.56,74.58,74.0,74.13,925144.0,ADBE
2014-12-30,73.63,73.86,72.75,73.085,1581717.0,ADBE
2014-12-31,73.4,74.21,72.65,72.7,1359290.0,ADBE
2015-01-02,72.7,73.2031,71.89,72.34,2356405.0,ADBE
2015-01-05,72.21,72.43,71.57,71.98,2405286.0,ADBE
2015-01-06,71.95,72.1,69.88,70.53,2895356.0,ADBE
2015-01-07,70.77,71.29,70.42,71.11,2378276.0,ADBE
2015-01-08,71.4,73.06,71.31,72.915,2624237.0,ADBE
2015-01-09,72.89,73.13,71.63,71.84,1730255.0,ADBE
2015-01-12,72.13,72.26,70.75,71.12,1337867.0,ADBE
2015-01-13,71.95,72.96,69.95,70.59,2103821.0,ADBE
2015-01-14,69.88,70.4,68.98,69.99,1927063.0,ADBE
2015-01-15,71.71,71.75,70.16,70.29,2839158.0,ADBE
2015-01-16,70.03,71.85,70.03,71.73,2375295.0,ADBE
2015-01-20,71.79,71.99,70.58,71.49,1612038.0,ADBE
2015-01-21,71.16,71.89,70.37,71.54,1787889.0,ADBE
2015-01-22,71.9,73.65,70.9,73.48,2178508.0,ADBE
2015-01-23,73.44,74.4,73.06,74.06,1851700.0,ADBE
2015-01-26,72.61,73.15,71.68,72.74,3593663.0,ADBE
2015-01-27,71.71,72.36,71.06,71.46,1798640.0,ADBE
2015-01-28,71.54,71.84,70.07,70.25,2281065.0,ADBE
2015-01-29,70.03,71.82,69.78,71.64,2538051.0,ADBE
2015-01-30,71.32,71.6699,70.06,70.13,2331834.0,ADBE
2015-02-02,70.44,71.2,69.04,71.11,2381935.0,ADBE
2015-02-03,71.54,71.97,71.0,71.92,1555876.0,ADBE
2015-02-04,71.79,72.62,71.78,72.28,2165414.0,ADBE
2015-02-05,72.47,73.18,72.32,73.1,1438782.0,ADBE
2015-02-06,73.18,73.62,72.24,72.54,1367371.0,ADBE
2015-02-09,72.09,72.98,72.04,72.33,1628899.0,ADBE
2015-02-10,72.94,73.19,72.11,72.76,1696213.0,ADBE
2015-02-11,72.78,73.14,72.35,73.01,1600855.0,ADBE
2015-02-12,73.6,74.755,73.31,74.59,2243474.0,ADBE
2015-02-13,74.98,76.62,74.77,76.51,3819312.0,ADBE
2015-02-17,76.67,77.22,76.31,77.13,1986617.0,ADBE
2015-02-18,77.02,77.9975,76.8,77.73,1683362.0,ADBE
2015-02-19,77.42,77.94,77.2,77.73,1556077.0,ADBE
2015-02-20,77.76,78.56,77.2,78.55,1626881.0,ADBE
2015-02-23,78.65,78.69,77.79,78.1,1455823.0,ADBE
2015-02-24,78.03,78.03,77.08,77.68,1954329.0,ADBE
2015-02-25,77.76,78.44,77.475,78.07,1256415.0,ADBE
2015-02-26,78.32,79.07,78.02,78.96,1545990.0,ADBE
2015-02-27,79.24,80.3,78.93,79.1,3115789.0,ADBE
2015-03-02,79.14,79.79,78.715,79.79,1497669.0,ADBE
2015-03-03,79.63,79.99,78.97,78.99,1617017.0,ADBE
2015-03-04,78.71,78.74,77.13,77.63,2393581.0,ADBE
2015-03-05,77.6,78.71,77.3,78.62,1850110.0,ADBE
2015-03-06,78.19,78.5,77.05,77.55,2537112.0,ADBE
2015-03-09,77.76,78.24,77.43,77.93,2010928.0,ADBE
2015-03-10,77.25,77.29,75.99,76.005,2622028.0,ADBE
2015-03-11,75.91,76.78,75.68,76.01,1692240.0,ADBE
2015-03-12,76.14,77.44,75.97,77.4,1683176.0,ADBE
2015-03-13,77.18,78.06,76.62,77.62,2202818.0,ADBE
2015-03-16,78.21,78.5899,77.8,78.33,1851377.0,ADBE
2015-03-17,78.22,79.87,78.18,79.66,5718989.0,ADBE
2015-03-18,75.5,78.32,74.75,76.89,10509371.0,ADBE
2015-03-19,76.48,77.38,75.2901,77.14,3519153.0,ADBE
2015-03-20,77.67,77.96,76.81,77.36,3577649.0,ADBE
2015-03-23,77.11,77.3,76.34,76.35,1754089.0,ADBE
2015-03-24,76.11,76.42,75.38,75.45,2782843.0,ADBE
2015-03-25,75.5,75.59,73.12,73.13,3444655.0,ADBE
2015-03-26,72.43,73.3577,72.12,72.97,2965546.0,ADBE
2015-03-27,72.72,73.46,72.56,73.31,2085213.0,ADBE
2015-03-30,73.51,73.86,73.1,73.6,1880790.0,ADBE
2015-03-31,73.11,74.6,72.94,73.94,2555952.0,ADBE
2015-04-01,73.61,75.1,73.03,75.07,3976036.0,ADBE
2015-04-02,75.17,76.17,74.61,75.68,2158435.0,ADBE
2015-04-06,75.13,76.65,74.75,76.23,2556459.0,ADBE
2015-04-07,76.07,76.68,75.62,75.65,2601250.0,ADBE
2015-04-08,75.68,76.35,75.12,75.44,1938515.0,ADBE
2015-04-09,75.62,76.35,75.21,76.33,1556186.0,ADBE
2015-04-10,76.3,76.63,76.0,76.53,1801204.0,ADBE
2015-04-13,76.44,77.0,75.89,76.02,1230003.0,ADBE
2015-04-14,76.02,76.6,75.59,75.95,1924755.0,ADBE
2015-04-15,76.09,76.5,75.9,76.03,1355474.0,ADBE
2015-04-16,75.41,75.69,75.095,75.15,2069782.0,ADBE
2015-04-17,74.38,74.55,72.78,73.15,3856527.0,ADBE
2015-04-20,73.42,74.3,73.42,73.92,1688291.0,ADBE
2015-04-21,74.31,74.88,74.21,74.62,1894585.0,ADBE
2015-04-22,74.68,75.52,74.634,75.5,1523834.0,ADBE
2015-04-23,75.08,76.8,75.0,76.52,1714116.0,ADBE
2015-04-24,76.41,77.21,75.84,76.54,1831099.0,ADBE
2015-04-27,76.84,77.29,76.36,76.55,1653200.0,ADBE
2015-04-28,76.34,77.09,75.87,76.02,1698227.0,ADBE
2015-04-29,75.61,77.26,75.465,76.65,2423865.0,ADBE
2015-04-30,76.4,77.24,75.31,76.06,2109174.0,ADBE
2015-05-01,76.29,76.67,75.66,76.43,1745421.0,ADBE
2015-05-04,76.43,76.99,75.82,75.85,1655632.0,ADBE
2015-05-05,75.35,75.63,74.75,75.0,2052192.0,ADBE
2015-05-06,75.08,75.47,73.96,74.48,1997335.0,ADBE
2015-05-07,74.4,74.84,74.17,74.73,2010135.0,ADBE
2015-05-08,75.28,76.52,75.05,76.31,1585632.0,ADBE
2015-05-11,76.32,77.34,76.07,76.785,2140410.0,ADBE
2015-05-12,76.26,76.9,75.3,76.57,2082578.0,ADBE
2015-05-13,76.6,77.48,76.53,77.08,1830543.0,ADBE
2015-05-14,77.64,79.81,77.1,79.43,3068066.0,ADBE
2015-05-15,80.0,80.0,78.625,78.92,2676185.0,ADBE
2015-05-18,78.69,79.525,78.4,79.41,1436008.0,ADBE
2015-05-19,79.75,79.93,79.37,79.62,2065598.0,ADBE
2015-05-20,79.57,79.9,78.91,79.61,2639039.0,ADBE
2015-05-21,79.54,80.74,79.19,80.56,2761464.0,ADBE
2015-05-22,80.34,80.7,79.97,80.04,1825194.0,ADBE
2015-05-26,79.91,80.12,78.84,79.365,2080761.0,ADBE
2015-05-27,79.55,80.32,79.27,80.16,1671821.0,ADBE
2015-05-28,80.17,80.42,79.745,80.015,1248364.0,ADBE
2015-05-29,79.89,79.99,78.94,79.09,3288029.0,ADBE
