date,open,high,low,close,volume,Name
2016-03-29,87.11,88.44,86.73,88.44,1088244,DLR
2016-03-30,88.42,89.34,88.19,88.33,643665,DLR
2016-03-31,88.22,88.58,87.82,88.49,935314,DLR
2016-04-01,88.08,89.55,88.08,89.46,1011536,DLR
2016-04-04,89.47,89.95,88.77,89.43,902996,DLR
2016-04-05,89.14,90.02,88.65,88.84,1163214,DLR
2016-04-06,88.46,90.08,87.91,89.98,1185568,DLR
2016-04-07,89.53,90.57,89.36,90.07,1158898,DLR
2016-04-08,90.33,90.8675,89.76,90.54,1132908,DLR
2016-04-11,90.64,91.135,90.0,90.41,547971,DLR
2016-04-12,90.58,91.5213,90.28,91.4,1095548,DLR
2016-04-13,91.73,91.835,88.81,89.16,1229953,DLR
2016-04-14,89.23,89.23,86.71,87.63,1942336,DLR
2016-04-15,87.37,88.91,87.04,87.97,1436698,DLR
2016-04-18,87.7,88.55,86.65,88.35,795247,DLR
2016-04-19,88.88,88.89,88.05,88.71,686429,DLR
2016-04-20,88.81,88.9,86.92,87.06,798418,DLR
2016-04-21,87.1,87.405,85.5,85.62,987715,DLR
2016-04-22,85.72,86.61,85.715,86.17,757477,DLR
2016-04-25,86.7,87.41,86.48,87.41,852316,DLR
2016-04-26,87.69,88.25,87.03,87.46,1053190,DLR
2016-04-27,87.4,87.93,86.93,87.62,695557,DLR
2016-04-28,87.29,88.42,87.24,88.03,1015419,DLR
2016-04-29,90.66,91.5,87.18,87.98,1148729,DLR
2016-05-02,88.38,89.6,88.02,89.49,974989,DLR
2016-05-03,89.22,89.5,88.5,89.33,846042,DLR
2016-05-04,88.84,91.58,88.84,91.44,916750,DLR
2016-05-05,91.32,92.25,90.78,91.45,861044,DLR
2016-05-06,91.2,92.63,90.86,92.18,1076389,DLR
2016-05-09,92.27,93.25,91.7,93.16,1105314,DLR
2016-05-10,93.19,93.64,92.76,93.63,1120280,DLR
2016-05-11,93.22,93.75,92.51,93.01,892385,DLR
2016-05-12,93.26,95.07,92.85,94.67,859223,DLR
2016-05-13,94.89,94.96,93.33,94.4,958520,DLR
2016-05-16,97.55,98.49,95.95,97.28,4811330,DLR
2016-05-17,95.29,95.68,93.35,95.41,33780244,DLR
2016-05-18,94.98,95.08,92.85,93.56,5544157,DLR
2016-05-19,92.85,93.14,90.89,92.69,2593040,DLR
2016-05-20,93.37,94.17,92.89,93.75,1858461,DLR
2016-05-23,93.96,94.25,93.28,94.22,1323326,DLR
2016-05-24,94.67,95.35,93.64,94.17,1641585,DLR
2016-05-25,94.23,95.41,93.33,95.08,1519407,DLR
2016-05-26,94.96,95.05,94.42,94.8,1137925,DLR
2016-05-27,94.78,95.57,94.52,94.66,1637510,DLR
2016-05-31,94.87,95.81,94.31,95.45,2718880,DLR
2016-06-01,95.4,95.72,94.34,95.59,2135961,DLR
2016-06-02,95.4,97.235,95.23,97.13,1785614,DLR
2016-06-03,97.5,98.64,96.93,98.44,1507063,DLR
2016-06-06,98.35,99.875,98.27,99.67,2850265,DLR
2016-06-07,99.67,102.54,99.67,102.06,2440090,DLR
2016-06-08,101.78,102.68,101.02,102.6,1380048,DLR
2016-06-09,102.58,103.08,102.14,102.84,1218563,DLR
2016-06-10,102.41,102.99,101.68,102.33,1509135,DLR
2016-06-13,101.99,101.99,100.07,100.24,1936793,DLR
2016-06-14,100.21,100.835,99.47,100.36,1761528,DLR
2016-06-15,100.53,100.75,100.0,100.34,1739584,DLR
2016-06-16,100.22,101.74,100.07,101.67,1596106,DLR
2016-06-17,101.6,102.51,100.33,102.11,3924547,DLR
2016-06-20,102.82,103.62,102.36,102.4,1595264,DLR
2016-06-21,102.44,104.25,102.44,104.01,1337921,DLR
2016-06-22,104.0,104.62,103.74,104.47,1212258,DLR
